date,vendor,time,attendees,site,end
2025-10-24,Flannel Panel/ Costume Party ,8-11pm,,https://www.eventbrite.com/e/flannel-or-costume-dj-party-tickets-1761827265779?aff=oddtdtcreator,
2025-10-25,I Lolev Karaoke: Halloween Edition,9-11:30pm,,https://www.eventbrite.com/e/i-lolev-karaoke-halloween-edition-tickets-1766946788409?aff=oddtdtcreator,
2025-10-28,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-11-05,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-11-08,The Meraklides - Live Greek Music,7pm,,https://www.instagram.com/the_meraklides_pgh?igsh=MTh0NXRzMXhmYWF6YQ==,
2025-11-14,I Lolev Karaoke,9-11:30pm,,,
2025-11-15,Independent Comedy Show by Abby Elias ,8-10pm,,https://www.eventbrite.com/e/jeff-konkle-at-lolev-tickets-1623820192909?aff=oddtdtcreator,
2025-11-19,Thanksgiving Dessert-Beer Pairing ,7pm ,,https://www.eventbrite.com/e/thanksgiving-dessert-beer-pairing-tickets-1762021316189?aff=oddtdtcreator,
2025-11-29,I Lolev Karaoke,9-11:30pm,,,
2025-12-04,Astronomy on Tap,,,https://www.instagram.com/aot.pgh?igsh=aWphZW5jd2dnOTZo,
2025-12-06,3rd Anniversary Party,5-11pm,,,
2025-12-12,I Lolev Karaoke ,9-11:30pm ,,,
2025-12-17,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
